artist,total_songs,average_popularity,primary_genre,average_energy
Aria Stone,14,64.57,Jazz,0.56
Atlas North,4,76.25,Electronic,0.58
Blue Meridian,7,67.57,Indie,0.56
Cedar Skies,16,66.44,Country,0.54
Echo Harbor,9,67.22,Country,0.52
Iris Monroe,11,72.73,Electronic,0.78
Kairo West,3,80.67,Country,0.64
Luna Park,9,67.22,Jazz,0.57
Mira Vale,7,64.86,Folk,0.48
Neon District,6,60.33,Country,0.57
Nova Lane,8,71.12,Indie,0.57
Orion Beats,5,60.4,Classical,0.44
Riya Frost,17,64.41,Jazz,0.6
Sage River,3,70.67,Electronic,0.72
The Midnight Keys,4,64.5,Classical,0.42
The Signal Theory,8,63.5,Folk,0.54
Velvet Orbit,8,59.0,Electronic,0.56
Zara Bloom,11,69.36,Classical,0.62
