song_id,song_name,artist,genre,release_year,popularity,mood,tempo,danceability,energy,acousticness,valence,metadata_features
SNG0001,Silent Letters 1,Riya Frost,Rock,1998,78,Energetic,137.0,0.536,0.898,0.393,0.53,Silent Letters 1 Riya Frost Rock Energetic 1998
SNG0002,Golden Signals,Cedar Skies,Rock,2019,64,Intense,129.7,0.708,0.912,0.114,0.631,Golden Signals Cedar Skies Rock Intense 2019
SNG0003,Silent Dreams,Aria Stone,Pop,2000,55,Romantic,113.4,0.733,0.749,0.01,0.456,Silent Dreams Aria Stone Pop Romantic 2000
SNG0004,Crystal Letters,Cedar Skies,Country,2004,66,Happy,106.4,0.479,0.598,0.423,0.416,Crystal Letters Cedar Skies Country Happy 2004
SNG0005,Urban Mirrors,Nova Lane,Indie,2023,75,Dreamy,122.7,0.577,0.558,0.261,0.409,Urban Mirrors Nova Lane Indie Dreamy 2023
SNG0006,Electric Letters,Riya Frost,Jazz,2008,47,Romantic,105.1,0.385,0.495,0.536,0.482,Electric Letters Riya Frost Jazz Romantic 2008
SNG0007,Neon Pulse,The Signal Theory,Rock,2010,78,Intense,126.0,0.735,0.818,0.032,0.667,Neon Pulse The Signal Theory Rock Intense 2010
SNG0008,Ocean Rivers,Echo Harbor,Indie,2023,51,Nostalgic,95.8,0.621,0.315,0.274,0.506,Ocean Rivers Echo Harbor Indie Nostalgic 2023
SNG0009,Velvet Pulse,Cedar Skies,Jazz,2000,62,Chill,111.4,0.517,0.436,0.578,0.328,Velvet Pulse Cedar Skies Jazz Chill 2000
SNG0010,Ocean Skyline,Aria Stone,Classical,2016,63,Calm,76.8,0.234,0.447,0.928,0.191,Ocean Skyline Aria Stone Classical Calm 2016
SNG0011,Golden Pulse,Atlas North,Electronic,2022,90,Energetic,127.2,0.821,0.799,0.166,0.754,Golden Pulse Atlas North Electronic Energetic 2022
SNG0012,Fading Firelight,Riya Frost,Rock,2010,58,Intense,141.3,0.466,0.783,0.226,0.687,Fading Firelight Riya Frost Rock Intense 2010
SNG0013,Silver Gravity,Aria Stone,Classical,2009,64,Sad,79.2,0.261,0.187,0.713,0.526,Silver Gravity Aria Stone Classical Sad 2009
SNG0014,Wild Horizon,Luna Park,Rock,2017,66,Energetic,145.6,0.543,0.94,0.231,0.476,Wild Horizon Luna Park Rock Energetic 2017
SNG0015,Silver Horizon,Riya Frost,R&B,2010,60,Sad,95.6,0.834,0.496,0.599,0.199,Silver Horizon Riya Frost R&B Sad 2010
SNG0016,Silent Pulse,Echo Harbor,Classical,2024,66,Calm,92.2,0.289,0.284,0.893,0.162,Silent Pulse Echo Harbor Classical Calm 2024
SNG0017,Golden Letters,Riya Frost,Classical,2010,72,Sad,81.8,0.316,0.497,0.807,0.315,Golden Letters Riya Frost Classical Sad 2010
SNG0018,Crystal Firelight 2,Zara Bloom,Classical,2004,44,Focus,79.0,0.372,0.359,0.806,0.487,Crystal Firelight 2 Zara Bloom Classical Focus 2004
SNG0019,Ocean Dreams,Blue Meridian,Indie,2002,56,Nostalgic,109.0,0.697,0.466,0.414,0.429,Ocean Dreams Blue Meridian Indie Nostalgic 2002
SNG0020,Neon Letters,Velvet Orbit,Folk,2011,61,Calm,83.4,0.48,0.431,0.781,0.47,Neon Letters Velvet Orbit Folk Calm 2011
SNG0021,Cosmic Skyline,Echo Harbor,R&B,2000,66,Romantic,77.8,0.638,0.459,0.268,0.519,Cosmic Skyline Echo Harbor R&B Romantic 2000
SNG0022,Parallel Skyline,Iris Monroe,Hip-Hop,2023,76,Energetic,100.0,0.98,0.721,0.236,0.57,Parallel Skyline Iris Monroe Hip-Hop Energetic 2023
SNG0023,Velvet Dreams,Orion Beats,Folk,2012,65,Calm,78.8,0.447,0.407,0.98,0.475,Velvet Dreams Orion Beats Folk Calm 2012
SNG0024,Urban Gravity,Cedar Skies,Rock,2019,65,Nostalgic,135.0,0.547,0.68,0.34,0.658,Urban Gravity Cedar Skies Rock Nostalgic 2019
SNG0025,Electric Rivers,Iris Monroe,Rock,2007,88,Energetic,139.9,0.459,0.988,0.01,0.636,Electric Rivers Iris Monroe Rock Energetic 2007
SNG0026,Wild Skyline,Luna Park,Indie,2014,57,Nostalgic,129.9,0.501,0.482,0.474,0.415,Wild Skyline Luna Park Indie Nostalgic 2014
